580,136,987,136,987,254,580,254,Battelle
2320,200,2671,200,2671,289,2320,289,Invoice
571,302,765,302,765,336,571,336,Columbus
783,304,840,304,840,333,783,333,Dv
855,311,932,311,932,337,855,337,sion
572,342,641,342,641,376,572,376,505
658,343,741,343,741,381,658,381,King
762,344,903,344,903,380,762,380,Avenue
572,378,775,378,775,423,572,423,Columbus.
792,387,883,387,883,421,792,421,COhio
916,388,1141,388,1141,427,916,427,43201-2693
571,428,774,428,774,473,571,473,Telephone
791,432,886,432,886,470,791,470,(614)
904,431,1079,431,1079,466,904,466,424-7694
572,466,673,466,673,504,572,504,Telex
692,467,845,467,845,507,692,507,24-5454
2042,394,2319,394,2319,448,2042,448,10/06/89
2004,466,2159,466,2159,502,2004,502,TÉRMS
2180,469,2263,469,2263,504,2180,504,NET
2286,472,2413,472,2413,510,2286,510,UPON
2434,473,2625,473,2625,513,2434,513,RECEIPT
2642,475,2705,475,2705,511,2642,511,OF
2726,470,2905,470,2905,510,2726,510,INVOICE
2004,572,2184,572,2184,608,2004,608,INVOICE
2209,573,2400,573,2400,613,2209,613,NUMBER
208,596,275,596,275,644,208,644,IN
274,599,511,599,511,644,274,644,ACCOUNT
530,606,645,606,645,642,530,642,WITH
2038,692,2209,692,2209,733,2038,733,61825
2004,748,2129,748,2129,788,2004,788,YOUR
2154,751,2505,751,2505,793,2154,793,IDENTIFICATION
2526,755,2725,755,2725,797,2526,797,NUMBER
226,802,507,802,507,845,226,845,AMERICAN
552,806,795,806,795,846,552,846,TOBACCO
838,804,1083,804,1083,848,838,848,COMPANY
226,862,503,862,503,903,226,903,RESEARCH
550,862,649,862,649,903,550,903,AND
692,862,1083,862,1083,903,692,903,DEVELOPMENT
1126,862,1483,862,1483,903,1126,903,DEPARTMENT
226,916,387,916,387,958,226,958,ATTN:
440,915,597,915,597,963,440,963,DR.
586,919,831,919,831,958,586,958,PRESTON
880,919,1045,919,1045,962,880,962,LEAKE
212,974,335,974,335,1021,212,1021,P.
362,974,431,974,431,1021,362,1021,O.
442,980,539,980,539,1015,442,1015,BOX
586,980,685,980,685,1015,586,1015,B99
226,1036,533,1036,533,1083,226,1083,"HOPEWELL,"
588,1038,649,1038,649,1075,588,1075,VA
2034,868,2173,868,2173,908,2034,908,AGMT
2214,867,2605,867,2605,912,2214,912,#863-R-2843
2025,981,2117,981,2117,1028,2025,1028,OUR
2118,984,2321,984,2321,1027,2118,1027,PROJECT
2346,988,2539,988,2539,1030,2346,1030,NUMBER
734,1034,903,1034,903,1079,734,1079,23860
2034,1100,2349,1100,2349,1141,2034,1141,N09622400
2616,1103,2688,1103,2688,1149,2616,1149,CI
32,1178,183,1178,183,1212,32,1212,'LEASE
204,1177,475,1177,475,1215,204,1215,REFERENCE
494,1179,591,1179,591,1216,494,1216,OUR
612,1180,791,1180,791,1217,612,1217,INVOICE
812,1179,1007,1179,1007,1222,812,1222,NUMBER
1026,1188,1091,1188,1091,1226,1026,1226,ON
1112,1186,1237,1186,1237,1225,1112,1225,YOUR
1258,1185,1557,1185,1557,1227,1258,1227,REMITTANCE.
1580,1188,1733,1188,1733,1225,1580,1225,THANK
1750,1191,1859,1191,1859,1229,1750,1229,YOU.
2617,1199,2795,1199,2795,1238,2617,1238,AMOUNT
2813,1203,2887,1203,2887,1236,2813,1236,U.S.
2909,1204,2974,1204,2974,1237,2909,1237,FUN
80,1264,287,1264,287,1304,80,1304,DESIGN
334,1265,433,1265,433,1304,334,1304,AND
484,1264,761,1264,761,1312,484,1312,DEVELOP
766,1272,1083,1272,1083,1313,766,1313,PROTOTYPE
1126,1273,1517,1273,1517,1314,1126,1314,ALTERNATIVE
1558,1275,1807,1275,1807,1316,1558,1316,SMOKING
1850,1275,2129,1275,2129,1317,1850,1317,ARTICLES
258,1384,503,1384,503,1429,258,1429,BILLING
546,1388,753,1388,753,1433,546,1433,PERIOD
800,1393,937,1393,937,1436,800,1436,FROM
1016,1391,1299,1391,1299,1439,1016,1439,09/01/89
1380,1395,1445,1395,1445,1432,1380,1432,TO
1525,1395,1807,1395,1807,1440,1525,1440,09/30/89
82,1564,179,1564,179,1604,82,1604,NBT
224,1564,433,1564,433,1607,224,1607,AMOUNT
476,1566,575,1566,575,1609,476,1609,DUE
2654,1579,2962,1579,2962,1622,2654,1622,"11,000.71"
458,2696,679,2696,679,2742,458,2742,ORIGINAD
1170,2680,1219,2680,1219,2722,1170,2722,A
1274,2687,1399,2687,1399,2734,1274,2734,CES
1401,2694,1652,2694,1652,2749,1401,2749,FERTOIKE
358,2821,424,2821,424,2849,358,2849,DATE
445,2821,532,2821,532,2849,445,2849,E.
355,2867,428,2867,428,2904,355,2904,に
430,2867,467,2867,467,2904,430,2904,1
564,2869,611,2869,611,2904,564,2904,li0
1196,3040,1321,3040,1321,3084,1196,3084,NEV
1354,3043,1651,3043,1651,3094,1354,3094,FRODICTS
1685,3054,1926,3054,1926,3103,1685,3103,DIVISION
378,3124,525,3124,525,3156,378,3156,"LIADER,"
1287,3104,1335,3104,1335,3161,1287,3161,2
1328,3109,1634,3109,1634,3169,1328,3169,Daoneocat
375,3207,469,3207,469,3238,375,3238,OFFICE
487,3204,554,3204,554,3243,487,3243,KAR.
1038,3242,1225,3242,1225,3288,1038,3288,Gruaal
1247,3235,1699,3235,1699,3316,1247,3316,"Eru.0,Ca"
1701,3243,1984,3243,1984,3308,1701,3308,Forvies
2017,3251,2167,3251,2167,3322,2017,3322,#
2197,3262,2529,3262,2529,3337,2197,3337,-584649
1083,3332,1319,3332,1319,3383,1083,3383,Approval.
