204,350,415,350,415,386,204,386,08/22/01
482,350,611,350,611,385,482,385,19:46
644,350,729,350,729,383,644,383,FAI
762,350,837,350,837,385,762,385,212
870,350,949,350,949,385,870,385,450
982,350,1087,350,1087,385,982,385,4800
1338,349,1419,349,1419,383,1338,383,DP#
1454,349,1554,349,1554,385,1454,385,1046
2582,346,2819,346,2819,390,2582,390,003/006
308,587,476,587,476,657,308,657,Wells
485,594,538,594,538,659,485,659,&
540,589,844,589,844,667,540,667,Company
363,673,399,673,399,727,363,727,9
402,673,619,673,619,727,402,727,Silverhorn
625,675,761,675,761,719,625,719,Drive
2026,674,2123,674,2123,732,2026,732,San
2112,679,2307,679,2307,728,2112,728,"Antonio,"
2329,679,2461,679,2461,724,2329,724,Texas
2496,679,2636,679,2636,724,2496,724,78216
374,950,639,950,639,1003,374,1003,Assistant
658,950,719,950,719,999,658,999,U.
744,950,793,950,793,1003,744,1003,S.
816,954,1069,954,1069,1013,816,1013,Attorney
1092,950,1365,950,1365,1003,1092,1003,Interview
1384,954,1437,954,1437,1003,1384,1003,in
1454,950,1657,950,1657,1007,1454,1007,"Austin,"
1678,950,1845,950,1845,1003,1678,1003,Texas
1862,954,2145,954,2145,1013,1862,1013,regarding
2162,950,2325,950,2325,1003,2162,1003,Texas
2346,954,2583,954,2583,1003,2346,1003,Tobacco
576,1034,835,1034,835,1095,576,1095,Attorney
858,1034,957,1034,957,1083,858,1083,Fee
976,1032,1325,1032,1325,1083,976,1083,Arbitration:
1362,1030,1723,1030,1723,1095,1362,1095,"Preparation,"
1746,1030,2015,1030,2015,1083,1746,1083,Interview
2032,1034,2137,1034,2137,1083,2032,1083,and
2158,1032,2457,1032,2457,1095,2158,1095,Fotllow-up
316,1255,483,1255,483,1304,316,1304,August
504,1250,569,1250,569,1304,504,1304,"16,"
588,1254,697,1254,697,1292,588,1292,2001
316,1384,699,1384,699,1433,316,1433,DESCRIPTION
1196,1384,1391,1384,1391,1431,1196,1431,HOURS
1716,1383,1895,1383,1895,1424,1716,1424,DAILY
1912,1382,2057,1382,2057,1424,1912,1424,RATE
2412,1379,2508,1379,2508,1425,2412,1425,FEE
2394,1508,2435,1508,2435,1574,2394,1574,$
2437,1507,2617,1507,2617,1572,2437,1572,"5,200.00"
320,1522,535,1522,535,1572,320,1572,Attended
550,1527,593,1527,593,1568,550,1568,&
608,1519,883,1519,883,1584,608,1584,participated
900,1524,941,1524,941,1565,900,1565,in
320,1590,541,1590,541,1639,320,1639,Interview
558,1591,657,1591,657,1634,558,1634,with
676,1594,787,1594,787,1635,676,1635,Asst.
808,1593,907,1593,907,1638,808,1638,U.S.
930,1593,1135,1593,1135,1646,930,1646,Attorney
315,1655,393,1655,393,1710,315,1710,In
384,1657,549,1657,549,1712,384,1712,"Austin,"
566,1662,707,1662,707,1700,566,1700,Texas
1244,1520,1311,1520,1311,1563,1244,1563,6.5
1894,1516,2007,1516,2007,1564,1894,1564,$800
1896,1854,2011,1854,2011,1894,1896,1894,S650
2361,1851,2620,1851,2620,1894,2361,1894,"$99,287.50"
307,1859,738,1859,738,1911,307,1911,PREPARATION
322,1929,533,1929,533,1982,322,1982,Prepared
550,1926,617,1926,617,1969,550,1969,for
632,1927,785,1927,785,1967,632,1967,Austin
800,1923,1015,1923,1015,1965,800,1965,interview
1030,1919,1085,1919,1085,1974,1030,1974,by
324,1992,615,1992,615,2048,324,2048,participating
633,1991,674,1991,674,2036,633,2036,in
691,1991,894,1991,894,2035,691,2035,selection
925,1990,978,1990,978,2029,925,2029,of
987,1991,1099,1991,1099,2032,987,2032,Akin
1116,1990,1257,1990,1257,2044,1116,2044,Gump
324,2062,535,2062,535,2114,324,2114,Attorney
550,2062,881,2062,881,2111,550,2111,representation
894,2055,963,2055,963,2101,894,2101,for
976,2047,1241,2047,1241,2101,976,2101,Arbitration
325,2128,465,2128,465,2178,325,2178,"Panel,"
486,2129,586,2129,586,2170,486,2170,read
600,2129,644,2129,644,2171,600,2171,&
662,2129,828,2129,828,2170,662,2170,re-read
841,2125,1053,2125,1053,2170,841,2170,materials
1066,2121,1311,2121,1311,2178,1066,2178,designated
329,2196,382,2196,382,2247,329,2247,by
400,2196,561,2196,561,2236,400,2236,AUSA
574,2205,619,2205,619,2237,574,2237,as
633,2191,761,2191,761,2237,633,2237,focus
778,2191,832,2191,832,2237,778,2237,of
837,2191,911,2191,911,2235,837,2235,the
925,2191,1156,2191,1156,2240,925,2240,"interview,"
1170,2188,1386,2188,1386,2232,1170,2232,extensive
332,2264,598,2264,598,2317,332,2317,preparation
612,2259,714,2259,714,2303,612,2303,with
728,2259,852,2259,852,2303,728,2303,Mike
865,2257,1111,2257,1111,2310,865,2310,"Maddigan,"
1129,2260,1257,2260,1257,2300,1129,2300,travel
1275,2262,1319,2262,1319,2298,1275,2298,to
332,2332,414,2332,414,2374,332,2374,and
429,2329,540,2329,540,2374,429,2374,from
554,2329,835,2329,835,2381,554,2381,Washington
850,2329,893,2329,893,2370,850,2370,&
911,2325,1074,2325,1074,2378,911,2378,"Austin,"
1091,2325,1157,2325,1157,2369,1091,2369,for
1175,2324,1399,2324,1399,2374,1175,2374,"interview,"
332,2399,549,2399,549,2445,332,2445,interview
566,2397,811,2397,811,2454,566,2454,"debriefing,"
828,2396,983,2396,983,2440,828,2440,review
998,2397,1039,2397,1039,2442,998,2442,&
1058,2394,1277,2394,1277,2439,1058,2439,re-review
1292,2391,1349,2391,1349,2435,1292,2435,of
336,2467,549,2467,549,2510,336,2510,interview
566,2476,711,2476,711,2521,566,2521,report
724,2467,929,2467,929,2522,724,2522,prepared
942,2462,999,2462,999,2517,942,2517,by
1012,2463,1257,2463,1257,2515,1012,2515,Maddigan.
1208,1858,1357,1858,1357,1898,1208,1898,152.75
340,2805,624,2805,624,2849,340,2849,Professional
644,2804,836,2804,836,2848,644,2848,Services
850,2799,986,2799,986,2844,850,2844,Total:
2348,2783,2635,2783,2635,2828,2348,2828,"$104,487.50"
2845,3188,2838,3188,2838,3565,2845,3565,2085594929
